tweet_id	date	time	lang	country_code
1542063193773981696	2022-06-29	08:31:30	ja	NULL
1542063194847559683	2022-06-29	08:31:30	en	NULL
1542063196395020288	2022-06-29	08:31:30	qht	NULL
1542063197775077376	2022-06-29	08:31:31	ur	NULL
1542063199083565056	2022-06-29	08:31:31	th	NULL
1542063211293319168	2022-06-29	08:31:34	en	NULL
1542063211297460224	2022-06-29	08:31:34	ja	NULL
1542063223553175553	2022-06-29	08:31:37	th	NULL
1542063231010611202	2022-06-29	08:31:39	ar	NULL
1542063231887413248	2022-06-29	08:31:39	fr	NULL
1542063231941758976	2022-06-29	08:31:39	en	NULL
1542063235955920896	2022-06-29	08:31:40	de	NULL
1542063236903755776	2022-06-29	08:31:40	es	NULL
1542063239311523840	2022-06-29	08:31:41	en	NULL
1542063241005760514	2022-06-29	08:31:41	en	NULL
1542063241857323008	2022-06-29	08:31:41	en	NULL
1542063244474449923	2022-06-29	08:31:42	en	NULL
1542063244503748608	2022-06-29	08:31:42	th	NULL
1542063246307368960	2022-06-29	08:31:42	ja	NULL
1542063248253517824	2022-06-29	08:31:43	en	NULL
1542063249134428160	2022-06-29	08:31:43	en	NULL
1542063253504802817	2022-06-29	08:31:44	en	NULL
1542063255949942785	2022-06-29	08:31:45	en	NULL
1542063256411545600	2022-06-29	08:31:45	vi	NULL
1542063267014537216	2022-06-29	08:31:47	qht	NULL
1542063267425783809	2022-06-29	08:31:47	fr	FR
1542063276141445120	2022-06-29	08:31:49	fr	NULL
1542063299076198400	2022-06-29	08:31:55	en	NULL
1542063302997598209	2022-06-29	08:31:56	en	NULL
1542063303312216065	2022-06-29	08:31:56	en	NULL
1542063303849017345	2022-06-29	08:31:56	en	NULL
1542063304923049985	2022-06-29	08:31:56	qst	NULL
1542063312221147136	2022-06-29	08:31:58	th	NULL
1542063318831050752	2022-06-29	08:32:00	en	NULL
1542063319732846592	2022-06-29	08:32:00	en	NULL
1542063326548615171	2022-06-29	08:32:01	de	NULL
1542063333737902081	2022-06-29	08:32:03	ja	NULL
1542063337156284416	2022-06-29	08:32:04	en	NULL
1542063337286115328	2022-06-29	08:32:04	en	NULL
1542063340087742464	2022-06-29	08:32:05	qht	NULL
1542063340737875968	2022-06-29	08:32:05	en	NULL
1542063343112167425	2022-06-29	08:32:05	en	NULL
1542063343489454081	2022-06-29	08:32:05	en	NULL
1542063355032064000	2022-06-29	08:32:08	en	NULL
1542063374602739712	2022-06-29	08:32:13	fr	NULL
1542063376712581121	2022-06-29	08:32:13	fr	NULL
1542063381787590657	2022-06-29	08:32:15	ja	NULL
1542063393066074113	2022-06-29	08:32:17	es	NULL
1542063399869509632	2022-06-29	08:32:19	ja	NULL
1542063406504607744	2022-06-29	08:32:20	en	NULL
1542063410103439363	2022-06-29	08:32:21	en	NULL
1542063417942753280	2022-06-29	08:32:23	en	NULL
1542063421998473218	2022-06-29	08:32:24	en	NULL
1542063440679899136	2022-06-29	08:32:29	en	NULL
1542063445276762113	2022-06-29	08:32:30	en	NULL
1542063452570537984	2022-06-29	08:32:31	en	NULL
1542063456962347008	2022-06-29	08:32:32	en	NULL
1542063458320908290	2022-06-29	08:32:33	en	NULL
1542063458773897216	2022-06-29	08:32:33	fr	NULL
1542063466617475072	2022-06-29	08:32:35	en	NULL
1542063475165372418	2022-06-29	08:32:37	en	NULL
1542063483197755392	2022-06-29	08:32:39	ja	NULL
1542063486414487553	2022-06-29	08:32:39	en	NULL
1542063497030160385	2022-06-29	08:32:42	en	NULL
1542063499891081219	2022-06-29	08:32:43	ja	NULL
1542063502583799808	2022-06-29	08:32:43	en	NULL
1542063502969688064	2022-06-29	08:32:43	ja	NULL
1542063516076720129	2022-06-29	08:32:47	en	NULL
1542063521986449408	2022-06-29	08:32:48	fr	NULL
1542063522225434624	2022-06-29	08:32:48	in	NULL
1542063523399884803	2022-06-29	08:32:48	en	NULL
1542063523953614849	2022-06-29	08:32:48	tr	NULL
1542063526302318593	2022-06-29	08:32:49	it	NULL
1542063528097419265	2022-06-29	08:32:49	en	NULL
1542063528391081986	2022-06-29	08:32:49	en	NULL
1542063529443852288	2022-06-29	08:32:50	en	NULL
1542063536502882308	2022-06-29	08:32:51	en	NULL
1542063538239332354	2022-06-29	08:32:52	en	NULL
1542063548305645568	2022-06-29	08:32:54	ja	NULL
1542063554450567168	2022-06-29	08:32:56	ja	NULL
1542063555985526785	2022-06-29	08:32:56	fr	NULL
1542063559928160256	2022-06-29	08:32:57	en	NULL
1542063565011812354	2022-06-29	08:32:58	en	NULL
1542063566823387137	2022-06-29	08:32:59	ja	NULL
1542063567981096960	2022-06-29	08:32:59	en	NULL
1542063569357131777	2022-06-29	08:32:59	und	NULL
1542063570552233985	2022-06-29	08:33:00	ja	NULL
1542063571382706181	2022-06-29	08:33:00	en	NULL
1542063571516932096	2022-06-29	08:33:00	tr	NULL
1542063573463171072	2022-06-29	08:33:00	en	NULL
1542063578303176704	2022-06-29	08:33:01	ja	NULL
1542063580165689346	2022-06-29	08:33:02	en	NULL
1542063583034744832	2022-06-29	08:33:03	ja	NULL
1542063583340535808	2022-06-29	08:33:03	en	NULL
1542063590211031040	2022-06-29	08:33:04	en	NULL
1542063593889439745	2022-06-29	08:33:05	en	NULL
1542063596850405377	2022-06-29	08:33:06	en	NULL
1542063603234340864	2022-06-29	08:33:07	en	NULL
1542063604563836928	2022-06-29	08:33:08	en	NULL
1542063607034261504	2022-06-29	08:33:08	en	NULL
1542063608070213632	2022-06-29	08:33:08	en	NULL
1542063619294339072	2022-06-29	08:33:11	en	NULL
1542063626395258880	2022-06-29	08:33:13	fr	NULL
1542063626806169601	2022-06-29	08:33:13	en	NULL
1542063627150188545	2022-06-29	08:33:13	fr	NULL
1542063629893308416	2022-06-29	08:33:14	fr	NULL
1542063630191140865	2022-06-29	08:33:14	fr	NULL
1542063631248101376	2022-06-29	08:33:14	it	NULL
1542063631340380166	2022-06-29	08:33:14	fr	NULL
1542063633106100225	2022-06-29	08:33:14	fr	NULL
1542063634570182661	2022-06-29	08:33:15	en	NULL
1542063645533806595	2022-06-29	08:33:17	en	NULL
1542063648968822784	2022-06-29	08:33:18	th	NULL
1542063649422020608	2022-06-29	08:33:18	fr	NULL
1542063670162853888	2022-06-29	08:33:23	en	NULL
1542063673518202880	2022-06-29	08:33:24	tr	NULL
1542063674642337801	2022-06-29	08:33:24	fr	NULL
1542063675447873537	2022-06-29	08:33:25	en	PH
1542063677712769024	2022-06-29	08:33:25	en	NULL
1542063681931993090	2022-06-29	08:33:26	fr	NULL
1542063688558968834	2022-06-29	08:33:28	ja	NULL
1542063690836774914	2022-06-29	08:33:28	ja	NULL
1542063695509037057	2022-06-29	08:33:29	de	NULL
1542063699866931200	2022-06-29	08:33:30	cs	NULL
1542063707760500738	2022-06-29	08:33:32	cy	NULL
1542063715419361280	2022-06-29	08:33:34	en	NULL
1542063719093399554	2022-06-29	08:33:35	en	NULL
1542063726848770048	2022-06-29	08:33:37	ja	NULL
1542063736474800129	2022-06-29	08:33:39	fr	NULL
1542063737284472836	2022-06-29	08:33:39	en	NULL
1542063757559480320	2022-06-29	08:33:44	en	NULL
1542063766334050304	2022-06-29	08:33:46	it	NULL
1542063774386884613	2022-06-29	08:33:48	en	NULL
1542063779017805825	2022-06-29	08:33:49	th	NULL
1542063781781671936	2022-06-29	08:33:50	tr	NULL
1542063783874826241	2022-06-29	08:33:50	th	NULL
1542063785556738049	2022-06-29	08:33:51	ja	NULL
